,log_Mc,Om0,Ob0,h,sigma8,m_nu,w0,wa
0,13.0,0.30966,0.04897,0.6766,0.8111,0.0,-1.0,0.0
1,12.5,0.30966,0.04897,0.6766,0.8111,0.0,-1.0,0.0
2,13.5,0.30966,0.04897,0.6766,0.8111,0.0,-1.0,0.0
3,13.0,0.25,0.04897,0.6766,0.8111,0.0,-1.0,0.0
4,13.0,0.35,0.04897,0.6766,0.8111,0.0,-1.0,0.0
5,13.0,0.30966,0.04,0.6766,0.8111,0.0,-1.0,0.0
6,13.0,0.30966,0.06,0.6766,0.8111,0.0,-1.0,0.0
7,13.0,0.30966,0.04897,0.65,0.8111,0.0,-1.0,0.0
8,13.0,0.30966,0.04897,0.7,0.8111,0.0,-1.0,0.0
9,13.0,0.30966,0.04897,0.6766,0.7,0.0,-1.0,0.0
10,13.0,0.30966,0.04897,0.6766,0.9,0.0,-1.0,0.0
11,13.0,0.30966,0.04897,0.6766,0.8111,0.1,-1.0,0.0
12,13.0,0.30966,0.04897,0.6766,0.8111,0.2,-1.0,0.0
13,13.0,0.30966,0.04897,0.6766,0.8111,0.0,-1.5,0.0
14,13.0,0.30966,0.04897,0.6766,0.8111,0.0,-0.5,0.0
15,13.0,0.30966,0.04897,0.6766,0.8111,0.0,-1.0,-0.5
16,13.0,0.30966,0.04897,0.6766,0.8111,0.0,-1.0,0.5
