FRB,ra[deg],dec[deg],p_host,DMobs,DM_MW,z_sample,DMexgal,survey,Reference,reischke_sample,connor_sample,sharma_sample,sharma_reason_for_excluding/notes,redshift_type,l[deg],b[deg]
FRB 20240304B,182.997,11.813,0.9750,2458.20,28.11,2.1480,2430.09,MeerKAT,Caleb+2025,no,no,yes,Beyond HMcode range; careful!,spec,269.868,72.104
FRB 20230521B,351.036,71.138,0.9680,1342.90,138.75,1.3540,1204.15,DSA-110,Connor+2025,yes,yes,yes,,spec,115.934,9.462
FRB 20240104A,348.874,72.821,0.9900,1348.90,120.67,1.3300,1228.23,DSA-110,Verdi+2025,no,no,yes,,spec,115.900,11.272
FRB 20220610A,351.073,-33.514,1.0000,1457.62,30.94,1.0160,1426.68,ASKAP,"Ryder+2023, Gordon+2024, Shannon+2024",yes,yes,yes,,spec,8.839,-70.186
FRB 20221029A,141.966,72.452,0.9200,1391.05,43.91,0.9750,1347.14,DSA-110,"Sherman+2024, Connor+2025, Sharma+2024",yes,yes,yes,,spec,140.003,37.158
FRB 20240123A,68.263,71.945,0.9980,1462.00,90.28,0.9680,1371.72,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,138.329,16.076
FRB 20220222C,203.904,-28.027,0.944,1071.20,56.01,0.853,1015.19,MeerKAT,Pastor-Marazuela+2025,no,no,yes,,spec,314.679,33.835
FRB 20190523A,207.064,72.471,0.8407,760.80,37.23,0.6600,723.57,ASKAP,Ravi+2019,yes,yes,yes,,spec,117.034,44.001
FRB 20250518,207.992,71.282,0.9900,920.60,36.61,0.6392,883.99,DSA-110,Verdi+2025,no,no,yes,,spec,116.124,45.037
FRB 20220224C,166.678,-22.940,0.938,1140.20,52.46,0.6271,1087.74,MeerKAT,Pastor-Marazuela+2025,no,no,yes,,spec,273.620,33.903
FRB 20220418A,219.106,70.095,0.9740,623.25,36.69,0.6220,586.56,DSA-110,"Sherman+2024, Connor+2025, Sharma+2024, Law+2024",yes,yes,yes,,spec,110.752,44.468
FRB 20190614D,65.076,73.707,0.9900,959.20,87.90,0.6000,871.30,VLA-RealFast,Law+2020,yes,no,yes,,spec,136.306,16.540
FRB 20221219A,257.630,71.627,0.9960,706.70,44.39,0.5540,662.31,DSA-110,"Connor+2025, Sharma+2024, Faber+2024",yes,yes,yes,,spec,102.931,33.526
FRB 20230814B,335.976,73.026,0.9960,696.40,104.88,0.5535,591.52,DSA-110,Connor+2025,yes,yes,yes,,spec,112.564,13.197
FRB 20190711A,329.419,-80.358,1.0000,593.10,56.42,0.5220,536.68,ASKAP,"Heintz+2020, Mannings+2021, Gordon+2023, Shannon+2024",yes,yes,yes,,spec,310.908,-33.902
FRB 20220918A,17.592,-70.811,0.9965,656.80,40.75,0.4910,616.05,ASKAP,"Shannon+2025, Gordon+2025",yes,no,yes,,spec,300.685,-46.234
FRB 20220310F,134.721,73.491,0.9700,462.24,46.28,0.4780,415.96,DSA-110,"Sherman+2024, Connor+2025, Sharma+2024, Law+2024",yes,yes,yes,,spec,140.024,34.798
FRB 20231020B,57.278,-37.770,0.998,952.20,34.44,0.4775,917.76,MeerKAT,Pastor-Marazuela+2025,no,no,yes,,spec,240.404,-51.423
FRB 20230907D,187.142,8.658,0.942,1030.79,28.68,0.4638,1002.11,MeerKAT,Pastor-Marazuela+2025,no,no,yes,,spec,285.549,70.754
FRB 20230712A,167.360,72.558,0.9950,586.96,39.20,0.4525,547.76,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,133.014,42.516
FRB 20220204A,274.228,69.722,0.9940,612.20,50.74,0.4000,561.46,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,100.031,28.295
FRB 20230613A,356.853,-27.053,0.999,483.51,30.04,0.3923,453.47,MeerKAT,Pastor-Marazuela+2025,no,no,yes,,spec,29.570,-75.759
FRB 20220501C,352.379,-32.491,1.0000,449.50,30.61,0.3810,418.89,ASKAP,Shannon+2025,yes,no,yes,,spec,11.178,-71.473
FRB 20190611B,320.746,-79.398,1.0000,321.40,57.83,0.3780,263.57,ASKAP,Macquart+2020,yes,yes,yes,,spec,312.935,-33.282
FRB 20240119A,224.467,71.612,0.9840,483.10,37.91,0.3700,445.19,DSA-110,Connor+2025,yes,yes,yes,,spec,110.035,42.206
FRB 20200906A,53.496,-14.083,1.0000,577.80,35.82,0.3688,541.98,ASKAP,"Bhandari+2022, Gordon+2023, Shannon+2025",yes,yes,yes,,spec,202.258,-49.998
FRB 20220717A,293.304,-19.288,0.9700,637.34,118.41,0.3630,518.93,MeerKAT,Rajwade+2024,yes,no,yes,,spec,19.835,-17.632
FRB 20230902A,52.140,-47.333,1.0000,440.10,34.11,0.3619,405.99,ASKAP,Shannon+2025,yes,no,yes,,spec,256.990,-53.339
FRB 20220726A,73.946,69.930,0.9940,686.55,89.52,0.3610,597.03,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,141.170,16.297
FRB 20211203C,204.562,-31.380,1.0000,635.00,63.63,0.3439,571.37,ASKAP,"Gordon+2023, Shannon+2024",yes,yes,yes,,spec,314.518,30.436
FRB 20231220A,123.909,73.660,0.9960,491.20,49.88,0.3355,441.32,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,140.935,31.837
FRB 20180301A,93.227,4.671,1.0000,536.00,151.62,0.3304,384.38,RealFAST,"Bhandari+2022, Gordon+2023",yes,yes,yes,,spec,204.337,-6.390
FRB 20230626A,235.630,71.134,0.9990,451.20,39.17,0.3270,412.03,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,106.275,39.997
FRB 20230125D,150.205,-31.545,0.9996,640.08,88.13,0.3265,551.95,MeerKAT,Pastor-Marazuela+2025,no,no,yes,,spec,265.390,18.619
FRB 20180924B,326.105,-40.900,1.0000,361.42,40.45,0.3214,320.97,ASKAP,"Bannister+2019, Heintz+2020, Mannings+2021, Gordon+2023, Shannon+2024",yes,yes,yes,,spec,0.742,-49.415
FRB 20230913,305.037,70.793,0.9400,518.60,74.50,0.3024,444.10,DSA-110,Verdi+2025,no,no,yes,,spec,104.174,18.668
FRB 20230501A,340.027,70.922,0.9930,532.50,125.57,0.3010,406.93,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,112.540,10.749
