m500 mean lerr uerr
1.000000000000000000e+12 8.252304999999999710e-03 2.106100000000000073e-03 8.766420000000000462e-03
1.528306732658768799e+12 9.236436000000000646e-03 2.173829999999999860e-03 1.063120000000000037e-02
2.335721469090121094e+12 1.058932999999999923e-02 2.232909999999999843e-03 1.212539999999999972e-02
3.569698846826062500e+12 1.249347999999999952e-02 2.702260000000000165e-03 1.488090000000000072e-02
5.455594781168514648e+12 1.525052999999999999e-02 4.027700000000000377e-03 1.938820000000000127e-02
8.337822234717882812e+12 1.931439999999999893e-02 6.714440000000000339e-03 2.458640000000000131e-02
1.274274985703132227e+13 2.523755999999999916e-02 1.021099999999999959e-02 3.076800000000000021e-02
1.947483039908753125e+13 3.343165000000000026e-02 1.484850000000000059e-02 3.846000000000000113e-02
2.976351441631313281e+13 4.371735000000000204e-02 1.929000000000000159e-02 4.923120000000000274e-02
4.548777947003767969e+13 5.520280000000000326e-02 2.328250000000000111e-02 6.360159999999999425e-02
6.951927961775591406e+13 6.674689000000000316e-02 2.657970000000000124e-02 8.098950000000000593e-02
1.062467830894043125e+14 7.754175000000000650e-02 3.071870000000000156e-02 9.697730000000000239e-02
1.623776739188717500e+14 8.724814000000000180e-02 3.652180000000000010e-02 1.122820000000000068e-01
2.481628922836828750e+14 9.585564000000000584e-02 4.431410000000000210e-02 1.277570000000000094e-01
3.792690190732253750e+14 1.034983000000000014e-01 5.542559999999999848e-02 1.427480000000000138e-01
5.796393953384973750e+14 1.103457000000000049e-01 6.637949999999999406e-02 1.547379999999999867e-01
8.858667904100832500e+14 1.165563000000000016e-01 7.630510000000000070e-02 1.631670000000000065e-01
1.353876180022544500e+15 1.222670000000000007e-01 8.361019999999999563e-02 1.694120000000000070e-01
2.069138081114790000e+15 1.275536999999999921e-01 9.089189999999999769e-02 1.751929999999999876e-01
3.162277660168379500e+15 1.403725999999999863e-01 1.082990000000000064e-01 1.869139999999999968e-01
