Name	z	αX	δX	αBCG	δBCG	Optical + NIR datasets
SPT-CL J0000−5748	0.702	0.2518	−57.8094	0.2501	−57.8093	griz[3.6][4.5]
SPT-CL J0013−4906	0.406	3.3309	−49.1160	3.3306	−49.1099	grizW1W2
SPT-CL J0014−4952	0.752	3.6912	−49.8800	3.7041	−49.8851	grizW1W2
SPT-CL J0033−6326	0.597	8.4720	−63.4429	8.4710	−63.4449	grizW1W2
SPT-CL J0037−5047	1.026	9.4476	−50.7876	9.4478	−50.7890	griz[3.6][4.5]
SPT-CL J0040−4407	0.350	10.2085	−44.1340	10.2080	−44.1307	grizW1W2
SPT-CL J0058−6145	0.826	14.5829	−61.7693	14.5842	−61.7669	griz[3.6][4.5]
SPT-CL J0102−4603	0.722	15.6737	−46.0652	15.6779	−46.0710	griz[3.6][4.5]
SPT-CL J0102−4915	0.870	15.7350	−49.2667	15.7407	−49.2720	griz[3.6][4.5]
SPT-CL J0123−4821	0.620	20.7931	−48.3567	20.7956	−48.3563	griz[3.6][4.5]
SPT-CL J0142−5032	0.730	25.5464	−50.5403	25.5401	−50.5410	griz[3.6][4.5]
SPT-CL J0151−5954	1.035	27.8584	−59.9076	27.8540	−59.9123	griz[3.6][4.5]
SPT-CL J0156−5541	1.221	29.0405	−55.6976	29.0381	−55.7029	griz[3.6][4.5]
SPT-CL J0200−4852	0.498	30.1403	−48.8752	30.1421	−48.8712	grizW1W2
SPT-CL J0212−4657	0.655	33.1094	−46.9495	33.0986	−46.9537	griz[3.6][4.5]
SPT-CL J0217−5245	0.343	34.2947	−52.7514	34.3122	−52.7604	grizW1W2
SPT-CL J0232−5257	0.556	38.1977	−52.9556	38.2058	−52.9531	grizW1W2
SPT-CL J0234−5831	0.415	38.6777	−58.5240	38.6761	−58.5236	grizW1W2
SPT-CL J0236−4938	0.334	39.2495	−49.6343	39.2569	−49.6360	grizW1W2
SPT-CL J0243−5930	0.635	40.8638	−59.5166	40.8628	−59.5172	griz[3.6][4.5]
SPT-CL J0252−4824	0.421	43.1946	−48.4136	43.2083	−48.4162	grizW1W2
